Stationscode,Stationsname,Stationsumgebung,Art der Station,Gemeinde,Jahr,NO2
DEBW099,Stuttgart Arnulf-Klett-Platz,städtisches Gebiet,Verkehr,Stuttgart,2015,62
DEBW115,Mannheim Luisenring,städtisches Gebiet,Verkehr,Mannheim,2015,kein Wert verfügbar
DEBW116,Stuttgart Hohenheimer Straße,städtisches Gebiet,Verkehr,Stuttgart,2015,77
DEBW117,Ludwigsburg Friedrichstraße,städtisches Gebiet,Verkehr,Ludwigsburg,2015,58
DEBW118,Stuttgart Am Neckartor,städtisches Gebiet,Verkehr,Stuttgart,2015,87
DEBW120,Leonberg Grabenstraße,städtisches Gebiet,Verkehr,Leonberg,2015,47
DEBW121,Pleidelsheim Beihinger Straße,städtisches Gebiet,Verkehr,Pleidelsheim,2015,49
DEBW122,Freiburg Schwarzwaldstraße,städtisches Gebiet,Verkehr,Freiburg im Breisgau,2015,56
DEBW125,Pfinztal Karlsruher Straße,vorstädtisches Gebiet,Verkehr,Pfinztal,2015,40
DEBW127,Freiburg Zähringer Straße,städtisches Gebiet,Verkehr,Freiburg im Breisgau,2015,41
DEBW128,Mühlacker Stuttgarter Straße,vorstädtisches Gebiet,Verkehr,Mühlacker,2015,54
DEBW130,Pforzheim Jahnstraße,städtisches Gebiet,Verkehr,Pforzheim,2015,42
DEBW133,Ilsfeld König-Wilhelm-Straße,vorstädtisches Gebiet,Verkehr,Ilsfeld,2015,46
DEBW134,Stuttgart Waiblinger Straße,städtisches Gebiet,Verkehr,Stuttgart,2015,49
DEBW135,Herrenberg Hindenburger Straße,städtisches Gebiet,Verkehr,Herrenberg,2015,52
DEBW136,Tübingen Mühlstraße,städtisches Gebiet,Verkehr,Tübingen,2015,kein Wert verfügbar
DEBW137,Tübingen Jesinger Hauptstraße,ländlich stadtnah,Verkehr,Tübingen,2015,45
DEBW138,Ulm Zinglerstraße,städtisches Gebiet,Verkehr,Ulm,2015,kein Wert verfügbar
DEBW142,Markgröningen Grabenstraße,vorstädtisches Gebiet,Verkehr,Markgröningen,2015,44
DEBW144,Walzbachtal Bahnhofstraße,vorstädtisches Gebiet,Verkehr,Walzbachtal,2015,46
DEBW145,Heidenheim Wilhelmstraße,vorstädtisches Gebiet,Verkehr,Heidenheim an der Brenz,2015,48
DEBW147,Reutlingen Lederstraße-Ost,städtisches Gebiet,Verkehr,Reutlingen,2015,70
DEBW148,Ingersheim Tiefengasse,vorstädtisches Gebiet,Verkehr,Ingersheim,2015,41
DEBW151,Heidelberg Mittermaierstraße,städtisches Gebiet,Verkehr,Heidelberg,2015,45
DEBW152,Heilbronn Weinsberger Straße-Ost,städtisches Gebiet,Verkehr,Heilbronn,2015,64
DEBW153,Ulm Karlstraße,städtisches Gebiet,Verkehr,Ulm,2015,kein Wert verfügbar
DEBW154,Freiberg Benninger Straße,vorstädtisches Gebiet,Verkehr,Freiberg am Neckar,2015,45
DEBW155,Schwäbisch Gmünd Remsstraße,städtisches Gebiet,Verkehr,Schwäbisch Gmünd,2015,44
DEBW156,Schramberg Oberndorfer Straße,städtisches Gebiet,Verkehr,Schramberg,2015,44
DEBW157,Wendlingen Stuttgarter Straße,städtisches Gebiet,Verkehr,Wendlingen am Neckar,2015,40
DEBW195,Hemmingen Hauptstraße,vorstädtisches Gebiet,Verkehr,Hemmingen,2015,kein Wert verfügbar
DEBW198,Mögglingen Hauptstraße,vorstädtisches Gebiet,Verkehr,Mögglingen,2015,43
DEBW210,Weil am Rhein Freiburger Straße,städtisches Gebiet,Verkehr,Weil am Rhein,2015,kein Wert verfügbar
DEBW211,Remseck Hauptstraße,vorstädtisches Gebiet,Verkehr,Remseck am Neckar,2015,kein Wert verfügbar
DEBW212,Remseck Remstalstraße,vorstädtisches Gebiet,Verkehr,Remseck am Neckar,2015,kein Wert verfügbar
DEBW213,Balingen Schömberger Straße,vorstädtisches Gebiet,Verkehr,Balingen,2015,kein Wert verfügbar
DEBW214,Bietigheim-Bissingen Stuttgarter Straße,vorstädtisches Gebiet,Verkehr,Bietigheim-Bissingen,2015,kein Wert verfügbar
DEBW219,Backnang Eugen-Adolff-Straße,städtisches Gebiet,Verkehr,Backnang,2015,kein Wert verfügbar
DEBW220,Esslingen Grabbrunnenstraße,städtisches Gebiet,Verkehr,Esslingen am Neckar,2015,kein Wert verfügbar
DEBW222,Kuchen Hauptstraße,ländliches Gebiet,Verkehr,Kuchen,2015,kein Wert verfügbar
DEBW223,Leinfelden-Echterdingen Hauptstraße,städtisches Gebiet,Verkehr,Leinfelden-Echterdingen,2015,kein Wert verfügbar
DEBW225,Steinheim Ludwigsburger Straße,städtisches Gebiet,Verkehr,Steinheim an der Murr,2015,53
DEBW226,Friedrichshafen Maybachstraße,städtisches Gebiet,Verkehr,Friedrichshafen,2015,kein Wert verfügbar
DEBW227,Lichtenstein Wilhelmstraße,vorstädtisches Gebiet,Verkehr,Lichtenstein,2015,kein Wert verfügbar
DEBW228,Ravensburg Schussenstraße,städtisches Gebiet,Verkehr,Ravensburg,2015,kein Wert verfügbar
DEBW229,Marbach Schillerstraße,städtisches Gebiet,Verkehr,Marbach am Neckar,2015,kein Wert verfügbar
DEBW231,Östringen Hauptstraße,städtisches Gebiet,Verkehr,Östringen,2015,kein Wert verfügbar
DEBW232,Rastatt Kapellenstraße,städtisches Gebiet,Verkehr,Rastatt,2015,kein Wert verfügbar
DEBW233,Sindelfingen Hanns-Martin-Schleyer-Straße,städtisches Gebiet,Verkehr,Sindelfingen,2015,kein Wert verfügbar
DEBW234,Heilbronn Frankenbacher Straße,vorstädtisches Gebiet,Verkehr,Heilbronn,2015,kein Wert verfügbar
DEBW235,Heilbronn Mannheimer Straße,städtisches Gebiet,Verkehr,Heilbronn,2015,kein Wert verfügbar
DEBW236,Heilbronn Speyerer Straße,städtisches Gebiet,Verkehr,Heilbronn,2015,kein Wert verfügbar
DEBW237,Heilbronn Südstraße 2,städtisches Gebiet,Verkehr,Heilbronn,2015,kein Wert verfügbar
DEBW238,Heilbronn Südstraße 33,städtisches Gebiet,Verkehr,Heilbronn,2015,kein Wert verfügbar
DEBW239,Heilbronn Wilhelmstraße,städtisches Gebiet,Verkehr,Heilbronn,2015,kein Wert verfügbar
DEBW240,Heilbronn Wollhausstraße,städtisches Gebiet,Verkehr,Heilbronn,2015,kein Wert verfügbar
DEBW241,Ludwigsburg Schlossstraße,städtisches Gebiet,Verkehr,Ludwigsburg,2015,kein Wert verfügbar
DEBW242,Stuttgart Pragstraße,städtisches Gebiet,Verkehr,Stuttgart,2015,kein Wert verfügbar
DEBW243,Stuttgart Talstraße,städtisches Gebiet,Verkehr,Stuttgart,2015,kein Wert verfügbar
DEBW245,Pforzheim Luisenstraße,städtisches Gebiet,Verkehr,Pforzheim,2015,kein Wert verfügbar
DEBW246,Pforzheim St.-Georgen-Steige,städtisches Gebiet,Verkehr,Pforzheim,2015,kein Wert verfügbar
DEBW249,Stuttgart Hauptstätter Straße,städtisches Gebiet,Verkehr,Stuttgart,2015,kein Wert verfügbar
DEBY001,Ansbach/Residenzstraße,städtisches Gebiet,Verkehr,Ansbach,2015,33
DEBY006,Augsburg/Königsplatz,städtisches Gebiet,Verkehr,Augsburg,2015,30
DEBY021,Ingolstadt/Rechbergstraße,städtisches Gebiet,Verkehr,Ingolstadt,2015,27
DEBY028,Kelheim/Regensburger Straße,städtisches Gebiet,Verkehr,Kelheim,2015,23
DEBY033,Landshut/Podewilsstraße,städtisches Gebiet,Verkehr,Landshut,2015,29
DEBY035,Lindau (Bodensee)/Friedrichshafener Straße,städtisches Gebiet,Verkehr,Lindau (Bodensee),2015,24
DEBY037,München/Stachus,städtisches Gebiet,Verkehr,München,2015,64
DEBY053,Nürnberg/Bahnhof,städtisches Gebiet,Verkehr,Nürnberg,2015,36
DEBY063,Regensburg/Rathaus,städtisches Gebiet,Verkehr,Regensburg,2015,41
DEBY110,Augsburg/Karlstraße,städtisches Gebiet,Verkehr,Augsburg,2015,49
DEBY111,Bayreuth/Hohenzollernring,städtisches Gebiet,Verkehr,Bayreuth,2015,31
DEBY115,München/Landshuter Allee,städtisches Gebiet,Verkehr,München,2015,84
DEBY119,Würzburg/Stadtring Süd,städtisches Gebiet,Verkehr,Würzburg,2015,42
DEBY120,Nürnberg/Von-der-Tann-Straße,städtisches Gebiet,Verkehr,Nürnberg,2015,48
DEBY121,Oberaudorf/Inntal-Autobahn,ländlich stadtnah,Verkehr,Oberaudorf,2015,44
DEBY198,Ingolstadt/Münchener Str.,städtisches Gebiet,Verkehr,Ingolstadt,2015,kein Wert verfügbar
DEBY200,Passau/Angerstr.,städtisches Gebiet,Verkehr,Passau,2015,kein Wert verfügbar
DEHB006,Bremen-Dobben,städtisches Gebiet,Verkehr,Bremen,2015,47
DEHB011,Bremerhaven-Cherbourger Straße,städtisches Gebiet,Verkehr,Bremerhaven,2015,42
DEHB014,Bremen-Nordstraße,städtisches Gebiet,Verkehr,Bremen,2015,kein Wert verfügbar
DEHE037,Wiesbaden Ringkirche,städtisches Gebiet,Verkehr,Wiesbaden,2015,53
DEHE040,Darmstadt Hügelstraße,städtisches Gebiet,Verkehr,Darmstadt,2015,61
DEHE041,Frankfurt Friedberger Landstraße,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,53
DEHE049,Kassel Fünffensterstraße,städtisches Gebiet,Verkehr,Kassel,2015,42
DEHE059,Fulda Petersberger Straße,städtisches Gebiet,Verkehr,Fulda,2015,41
DEHE061,Gießen Westanlage,städtisches Gebiet,Verkehr,Gießen,2015,45
DEHE062,Marburg Universitätsstraße,städtisches Gebiet,Verkehr,Marburg,2015,47
DEHE063,Heppenheim Lehrstraße,städtisches Gebiet,Verkehr,Heppenheim (Bergstraße),2015,35
DEHE098,Limburg Diezer Straße,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2015,38
DEHE099,Limburg Schiede I,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2015,63
DEHE100,Limburg Schiede II,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2015,47
DEHE101,Limburg Frankfurter Straße,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2015,53
DEHE102,Offenbach Untere Grenzstraße I,städtisches Gebiet,Verkehr,Offenbach am Main,2015,48
DEHE103,Offenbach Bieberer Straße,städtisches Gebiet,Verkehr,Offenbach am Main,2015,42
DEHE104,Offenbach Mainstraße,städtisches Gebiet,Verkehr,Offenbach am Main,2015,52
DEHE111,Rüsselsheim Rugby-Ring,städtisches Gebiet,Verkehr,Rüsselsheim am Main,2015,42
DEHE112,Wiesbaden Schiersteiner Straße,städtisches Gebiet,Verkehr,Wiesbaden,2015,53
DEHE116,Offenbach Untere Grenzstraße,städtisches Gebiet,Verkehr,Offenbach am Main,2015,40
DEHE131,Limburg Schiede,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2015,kein Wert verfügbar
DEHE132,Darmstadt Hügelstraße I,städtisches Gebiet,Verkehr,Darmstadt,2015,kein Wert verfügbar
DEHE133,Bensheim Nibelungenstraße,städtisches Gebiet,Verkehr,Bensheim,2015,46
DEHE136,Frankfurt Battonnstraße (ehemals Frankfurt Börneplatz),städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE138,Darmstadt Heinrichstraße II,städtisches Gebiet,Verkehr,Darmstadt,2015,kein Wert verfügbar
DEHE139,Frankfurt Am Erlenbruch I,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE140,Frankfurt Am Erlenbruch II,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE142,Marburg Universitätsstraße I,städtisches Gebiet,Verkehr,Marburg,2015,kein Wert verfügbar
DEHE143,Alsfeld I (ehemals Ludwigsplatz 1),städtisches Gebiet,Verkehr,Alsfeld,2015,kein Wert verfügbar
DEHE144,Frankfurt Mainkai,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE146,Frankfurt Pforzheimer Straße,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE151,Frankfurt Hochstraße,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE152,Alsfeld III,städtisches Gebiet,Verkehr,Alsfeld,2015,kein Wert verfügbar
DEHE153,Schlangenbad-Wambach Schwalbacher Straße,städtisches Gebiet,Verkehr,Schlangenbad,2015,kein Wert verfügbar
DEHE154,Frankfurt Königsteiner Straße I,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE155,Frankfurt Königsteiner Straße II,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE156,Frankfurt Gotenstraße,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE157,Frankfurt Kasinostraße,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE158,Frankfurt Mainzer Landstraße,städtisches Gebiet,Verkehr,Frankfurt am Main,2015,kein Wert verfügbar
DEHE163,Marburg Bahnhofstraße,städtisches Gebiet,Verkehr,Marburg,2015,kein Wert verfügbar
DEHE165,Neu-Isenburg Frankfurter Straße I,städtisches Gebiet,Verkehr,Neu-Isenburg,2015,kein Wert verfügbar
DEHE166,Neu-Isenburg Frankfurter Straße II,städtisches Gebiet,Verkehr,Neu-Isenburg,2015,kein Wert verfügbar
DEHE167,Neu-Isenburg Frankfurter Straße III,städtisches Gebiet,Verkehr,Neu-Isenburg,2015,kein Wert verfügbar
DEHE168,Limburg Eschhöfer Weg,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2015,kein Wert verfügbar
DEHE169,Limburg Grabenstraße,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2015,kein Wert verfügbar
DEHH026,Hamburg Stresemannstraße,städtisches Gebiet,Verkehr,Hamburg,2015,49
DEHH064,Hamburg Kieler Straße,städtisches Gebiet,Verkehr,Hamburg,2015,48
DEHH068,Hamburg Habichtstraße,städtisches Gebiet,Verkehr,Hamburg,2015,63
DEHH070,Hamburg Max-Brauer-Allee II (Straße),städtisches Gebiet,Verkehr,Hamburg,2015,62
DEMV003,Neubrandenburg,städtisches Gebiet,Verkehr,Neubrandenburg,2015,21
DEMV020,Rostock Am Strande,städtisches Gebiet,Verkehr,Rostock,2015,38
DEMV022,Rostock-Holbeinplatz,städtisches Gebiet,Verkehr,Rostock,2015,31
DEMV023,Schwerin-Obotritenring,städtisches Gebiet,Verkehr,Schwerin,2015,22
DEMV025,Stralsund-Knieperdamm,städtisches Gebiet,Verkehr,Stralsund,2015,18
DEMV027,Wolgast-Oberwallstraße,städtisches Gebiet,Verkehr,Wolgast,2015,14
DEMV058,Neubrandenburg Woldegker Straße,städtisches Gebiet,Verkehr,Neubrandenburg,2015,kein Wert verfügbar
DEMV059,Schwerin Obotr. West,städtisches Gebiet,Verkehr,Schwerin,2015,kein Wert verfügbar
DENI008,Braunschweig Verkehr_alt,städtisches Gebiet,Verkehr,Braunschweig,2015,43
DENI048,Hannover Verkehr,städtisches Gebiet,Verkehr,Hannover,2015,49
DENI061,Hildesheim Kaiserstr.,städtisches Gebiet,Verkehr,Hildesheim,2015,kein Wert verfügbar
DENI066,Hildesheim Verkehr,städtisches Gebiet,Verkehr,Hildesheim,2015,46
DENI067,Osnabrück-Verkehr,städtisches Gebiet,Verkehr,Osnabrück,2015,50
DENI068,Göttingen-Verkehr,städtisches Gebiet,Verkehr,Göttingen,2015,42
DENI071,Barbis-Verkehr,vorstädtisches Gebiet,Verkehr,Bad Lauterberg im Harz,2015,20
DENI074,Hameln-Verkehr,städtisches Gebiet,Verkehr,Hameln,2015,43
DENI075,Braunschweig-Verkehr,städtisches Gebiet,Verkehr,Braunschweig,2015,40
DENI143,Oldenburg Heiligengeistwall,städtisches Gebiet,Verkehr,Oldenburg (Oldb),2015,52
DENI146,Osnabrück Neuer Graben,städtisches Gebiet,Verkehr,Osnabrück,2015,43
DENI149,Hannover Bornumer Straße,städtisches Gebiet,Verkehr,Hannover,2015,49
DENI150,Hannover Friedrich-Ebert-Straße,städtisches Gebiet,Verkehr,Hannover,2015,57
DENI151,Hannover Kurt-Schumacher-Straße,städtisches Gebiet,Verkehr,Hannover,2015,39
DENI152,Hannover Marienstraße,städtisches Gebiet,Verkehr,Hannover,2015,54
DENI153,Hannover Vahrenwalder Straße,städtisches Gebiet,Verkehr,Hannover,2015,46
DENI157,Wolfsburg Heßlinger Straße,städtisches Gebiet,Verkehr,Wolfsburg,2015,37
DENI160,Braunschweig Hildesheimer Straße,städtisches Gebiet,Verkehr,Braunschweig,2015,36
DENI174,"Hannover Bornumer Straße, wohngebäudenah",städtisches Gebiet,Verkehr,Hannover,2015,kein Wert verfügbar
DENI175,"Hannover Göttinger Straße, wohngebäudenah",städtisches Gebiet,Verkehr,Hannover,2015,kein Wert verfügbar
DENI176,"Hannover Friedrich-Ebert-Straße, wohngebäudenah",städtisches Gebiet,Verkehr,Hannover,2015,kein Wert verfügbar
DENI178,"Hannover Marienstraße, wohngebäudenah",städtisches Gebiet,Verkehr,Hannover,2015,kein Wert verfügbar
DENI179,"Oldenburg Heiligengeistwall, wohngebäudenah",städtisches Gebiet,Verkehr,Oldenburg (Oldb),2015,kein Wert verfügbar
DENI180,"Osnabrück Neuer Graben, wohngebäudenah",städtisches Gebiet,Verkehr,Osnabrück,2015,kein Wert verfügbar
DENI181,"Hannover Friedrich-Ebert-Straße 37/39, wohngebäudenah",städtisches Gebiet,Verkehr,Hannover,2015,kein Wert verfügbar
DENW043,Essen-Ost Steeler Straße,städtisches Gebiet,Verkehr,Essen,2015,36
DENW082,Düsseldorf Corneliusstraße,städtisches Gebiet,Verkehr,Düsseldorf,2015,59
DENW100,Mönchengladbach Düsseldorfer Straße,städtisches Gebiet,Verkehr,Mönchengladbach,2015,22
DENW101,Dortmund Steinstraße,städtisches Gebiet,Verkehr,Dortmund,2015,39
DENW112,Duisburg Kardinal-Galen-Straße,städtisches Gebiet,Verkehr,Duisburg,2015,37
DENW133,Hagen Graf-von-Galen-Ring,städtisches Gebiet,Verkehr,Hagen,2015,49
DENW134,Essen Gladbecker Straße,städtisches Gebiet,Verkehr,Essen,2015,43
DENW136,Dortmund Brackeler Straße,städtisches Gebiet,Verkehr,Dortmund,2015,49
DENW137,Hagen Wehringhauser Straße ,städtisches Gebiet,Verkehr,Hagen,2015,25
DENW148,Köln Justinianstraße,städtisches Gebiet,Verkehr,Köln,2015,54
DENW151,Köln Neumarkt,städtisches Gebiet,Verkehr,Köln,2015,51
DENW157,Paderborn Bahnhofstraße,städtisches Gebiet,Verkehr,Paderborn,2015,47
DENW158,Paderborn Friedrichstraße 29,städtisches Gebiet,Verkehr,Paderborn,2015,50
DENW161,Essen Alfredstraße 9/11,städtisches Gebiet,Verkehr,Essen,2015,48
DENW162,Essen Brückstraße,städtisches Gebiet,Verkehr,Essen,2015,42
DENW165,Mönchengladbach Aachener Straße 426/428,städtisches Gebiet,Verkehr,Mönchengladbach,2015,42
DENW166,Remscheid Freiheitstraße,städtisches Gebiet,Verkehr,Remscheid,2015,41
DENW171,Essen Hombrucher Straße 21,städtisches Gebiet,Verkehr,Essen,2015,kein Wert verfügbar
DENW172,Neuss Friedrichstraße 29,städtisches Gebiet,Verkehr,Neuss,2015,41
DENW175,Bonn Reuterstraße,städtisches Gebiet,Verkehr,Bonn,2015,50
DENW176,Bonn Bornheimer Straße 35a,städtisches Gebiet,Verkehr,Bonn,2015,41
DENW178,Aachen Adalbertsteinweg,städtisches Gebiet,Verkehr,Aachen,2015,44
DENW184,Dortmund B1 Westfalendamm,städtisches Gebiet,Verkehr,Dortmund,2015,42
DENW185,Dortmund B1 Rheinlanddamm,städtisches Gebiet,Verkehr,Dortmund,2015,46
DENW187,Mülheim Aktienstraße,städtisches Gebiet,Verkehr,Mülheim an der Ruhr,2015,41
DENW188,Oberhausen Mülheimer Straße 117,städtisches Gebiet,Verkehr,Oberhausen,2015,53
DENW189,Wuppertal Gathe,städtisches Gebiet,Verkehr,Wuppertal,2015,51
DENW195,Hamm Münsterstraße,städtisches Gebiet,Verkehr,Hamm,2015,39
DENW200,Bielefeld Detmolder Straße,städtisches Gebiet,Verkehr,Bielefeld,2015,31
DENW203,Herne Recklinghauser Straße,städtisches Gebiet,Verkehr,Herne,2015,41
DENW206,Solingen Konrad-Adenauer-Straße,städtisches Gebiet,Verkehr,Solingen,2015,kein Wert verfügbar
DENW207,Aachen Wilhelmstraße,städtisches Gebiet,Verkehr,Aachen,2015,50
DENW208,Gelsenkirchen Kurt-Schumacher-Straße,städtisches Gebiet,Verkehr,Gelsenkirchen,2015,50
DENW209,Oberhausen Mülheimer Straße 116,städtisches Gebiet,Verkehr,Oberhausen,2015,46
DENW210,Erwitte Soester Straße 9A,städtisches Gebiet,Verkehr,Erwitte,2015,35
DENW211,Köln Clevischer Ring,städtisches Gebiet,Verkehr,Köln,2015,66
DENW212,Köln Turiner Straße,städtisches Gebiet,Verkehr,Köln,2015,46
DENW213,Overath Hauptstraße 55,städtisches Gebiet,Verkehr,Overath,2015,45
DENW215,Essen-Frohnhausen,städtisches Gebiet,Verkehr,Essen,2015,50
DENW216,Düsseldorf-Bilk,städtisches Gebiet,Verkehr,Düsseldorf,2015,56
DENW219,Köln-Weiden,städtisches Gebiet,Verkehr,Köln,2015,52
DENW222,Halle (Westfalen) Lange Straße,städtisches Gebiet,Verkehr,Halle (Westf.),2015,40
DENW225,Gevelsberg Hagener Straße,städtisches Gebiet,Verkehr,Gevelsberg,2015,36
DENW228,Bielefeld Stapenhorststraße 42,städtisches Gebiet,Verkehr,Bielefeld,2015,41
DENW230,Bönen Bönener Straße,städtisches Gebiet,Verkehr,Bönen,2015,38
DENW232,Langenfeld Schneiderstraße,städtisches Gebiet,Verkehr,Langenfeld (Rhld.),2015,41
DENW239,Witten-Zentrum,städtisches Gebiet,Verkehr,Witten,2015,42
DENW249,Köln-Junkersdorf Statthalterhofweg 70,städtisches Gebiet,Verkehr,Köln,2015,35
DENW251,Krefeld Kölner Straße 209,städtisches Gebiet,Verkehr,Krefeld,2015,37
DENW252,Krefeld Oranierring,städtisches Gebiet,Verkehr,Krefeld,2015,38
DENW253,Duisburg Friedrich-Ebert-Straße 30,städtisches Gebiet,Verkehr,Duisburg,2015,36
DENW255,Hagen Enneper Straße,städtisches Gebiet,Verkehr,Hagen,2015,35
DENW259,Mönchengladbach Friedrich-Ebert-Straße,städtisches Gebiet,Verkehr,Mönchengladbach,2015,32
DENW260,Münster Weseler Straße,städtisches Gebiet,Verkehr,Münster,2015,39
DENW262,Dinslaken Hans-Böckler-Straße 9,städtisches Gebiet,Verkehr,Dinslaken,2015,36
DENW266,Düren Euskirchener Straße,städtisches Gebiet,Verkehr,Düren,2015,61
DENW267,Hürth Luxemburger Straße 344,städtisches Gebiet,Verkehr,Hürth,2015,45
DENW268,Münster Steinfurter Straße 11,städtisches Gebiet,Verkehr,Münster,2015,38
DENW269,Münster Bült,städtisches Gebiet,Verkehr,Münster,2015,44
DENW272,Siegen Frankfurter Straße,städtisches Gebiet,Verkehr,Siegen,2015,38
DENW275,Dinslaken Hünxer Straße,städtisches Gebiet,Verkehr,Dinslaken,2015,42
DENW277,Essen Krayer Straße 213,städtisches Gebiet,Verkehr,Essen,2015,44
DENW278,Gladbeck Grabenstraße 46,städtisches Gebiet,Verkehr,Gladbeck,2015,kein Wert verfügbar
DENW279,Recklinghausen Kaiserwall,städtisches Gebiet,Verkehr,Recklinghausen,2015,36
DENW281,Hagen Märkischer Ring 85,städtisches Gebiet,Verkehr,Hagen,2015,49
DENW287,Eschweiler Indestraße,städtisches Gebiet,Verkehr,Eschweiler,2015,43
DENW289,Neuss Krefelder Straße,städtisches Gebiet,Verkehr,Neuss,2015,42
DENW290,Neuss Batteriestraße,städtisches Gebiet,Verkehr,Neuss,2015,44
DENW291,Mettmann Breite Straße 10,städtisches Gebiet,Verkehr,Mettmann,2015,41
DENW293,Dinslaken Wilhelm-Lantermann-Straße 33,städtisches Gebiet,Verkehr,Dinslaken,2015,35
DENW294,Emmerich-Elten Schmidtstraße 3,städtisches Gebiet,Verkehr,Emmerich am Rhein,2015,kein Wert verfügbar
DENW296,Recklinghausen Bochumer Straße,städtisches Gebiet,Verkehr,Recklinghausen,2015,37
DENW297,Köln-Meschenich Brühler Landstraße,vorstädtisches Gebiet,Verkehr,Köln,2015,40
DENW299,Gladbeck Grabenstraße 42,städtisches Gebiet,Verkehr,Gladbeck,2015,41
DENW303,Köln Dellbrücker Hauptstraße,städtisches Gebiet,Verkehr,Köln,2015,40
